Activo,vc_95,hs_95,mc_95,es_95,vc_99,hs_99,mc_99,es_99,cod_portfolio,name_portfolio
Argentina,-0.04149408927499861,-0.040005614895242195,-0.04019500462297678,-0.051523447244946834,-0.05868588231103543,-0.06915396401281378,-0.059099107213506474,-0.06672240023335428,arg,Argentina
Argentina/Servicios Financieros y Bancarios/ggal,-0.056936976128538166,-0.05459805226681323,-0.055489175468021665,-0.0710339339356425,-0.0805270518911934,-0.09148807700548472,-0.08142912434160496,-0.09188965507586859,arg,Argentina
Argentina/Comercio Electrónico y Tecnología Financiera/meli,-0.04872398284720788,-0.04579212708399619,-0.04651990138926456,-0.059822373639116265,-0.06891125876135394,-0.09246796305489971,-0.0687180880495573,-0.07766971763589721,arg,Argentina
Argentina/Energía y Petróleo/ypf,-0.053237038707577296,-0.052477351483371584,-0.05171964160039491,-0.06625425450945456,-0.07529415978924442,-0.08363442847848415,-0.07597393391015735,-0.08575470762642552,arg,Argentina
Brasil,-0.03534682220041065,-0.032373553781814605,-0.03419984311249796,-0.04385010247902844,-0.04999168517652598,-0.059269927601045755,-0.05030349031889646,-0.05679744401831435,bra,Brasil
Brasil/Servicios Financieros y Bancarios/itub,-0.036678793835947646,-0.03513543222100922,-0.03582065614683568,-0.04583458786277883,-0.051875518079248825,-0.060910838780717555,-0.05253116839288903,-0.059269841155391786,bra,Brasil
Brasil/Energía y Petróleo/pbr,-0.04653079514999859,-0.04044419097437704,-0.04466934762459571,-0.05737304250084207,-0.06580939154765451,-0.07571738614954523,-0.06586833867240376,-0.07441703313867558,bra,Brasil
Brasil/ Minería y Recursos Naturales/vale,-0.03918737518764685,-0.03664129022291343,-0.03795215673485622,-0.048650973631925054,-0.05542345255728499,-0.06883905475427768,-0.05580555496525475,-0.0630051073549019,bra,Brasil
Chile,-0.024841977524465597,-0.02469940864314241,-0.024042130573338618,-0.030824363558169993,-0.03513448288290512,-0.04170127651777767,-0.03535983198324094,-0.03992381363860216,chl,Chile
Chile/Venta al por menor/cencosud,-0.03072058374352949,-0.03170872252393775,-0.029597023231596995,-0.03798426271546781,-0.04344870784247717,-0.05157023565423749,-0.04359303120144015,-0.04923705433498762,chl,Chile
Chile/Energía Eléctrica/enel,-0.026737091428168765,-0.023593564709213363,-0.026195198076000615,-0.0334948767143479,-0.037814778642179483,-0.04414920782492969,-0.03837636454872083,-0.043288535613052986,chl,Chile
Chile/Industria Química/sqm,-0.04312810841005514,-0.04423971800717996,-0.041595609170255156,-0.05337031295652887,-0.060996906756430026,-0.07300053858332856,-0.06124436825864744,-0.06916791696477397,chl,Chile
Colombia,-0.025773898576431226,-0.02254074762124857,-0.025247845786967316,-0.03228451175151711,-0.03645251661094705,-0.04211616895496422,-0.036990125559592094,-0.041725321765708964,col,Colombia
Colombia/Servicios Financieros y Bancarios/aval,-0.03301730095888861,-0.02849029315647385,-0.03256717291487843,-0.04158145508363974,-0.046696998829393856,-0.04887010109168237,-0.04760954356841937,-0.05367552239144602,col,Colombia
Colombia/Servicios Financieros y Bancarios/bogota,-0.032075102780109215,-0.027012423195136373,-0.031580059790014624,-0.04033710590386685,-0.045364429964776416,-0.06235641443862772,-0.046193173847083976,-0.052086050870945186,col,Colombia
Colombia/Petróleo y Gas/ec,-0.03972126649461238,-0.03582729690634636,-0.038578095411976425,-0.049422673675016036,-0.056178545221201866,-0.06241831951987374,-0.05667472948221778,-0.06397236903428574,col,Colombia
México,-0.024456037327535318,-0.024130055537900586,-0.023629348698017364,-0.030306251854439994,-0.03458864029732522,-0.04132534842563571,-0.034771275229673375,-0.03926436504170809,mex,México
México/Telecomunicaciones/amx,-0.02659486941893374,-0.02598042975508285,-0.02578771037118131,-0.03304855999308509,-0.03761363134043512,-0.04920013200657874,-0.037904081838983694,-0.04279012370222633,mex,México
México/Bebidas y Comercio Minorista/fmx,-0.024443343547344332,-0.022567807299679454,-0.02368595912387757,-0.030359405755935334,-0.03457068724176028,-0.040672720674001496,-0.03482211571368528,-0.03931287661830244,mex,México
México/Servicios Financieros/gbooy,-0.03814753468718601,-0.039287988265514565,-0.03670926073623923,-0.04712418357142422,-0.0539527862937634,-0.06102313157650132,-0.054088917450092484,-0.061097429074082416,mex,México
Perú,-0.04459889480417129,-0.017565662799000948,-0.04302720727316318,-0.05520336939941253,-0.06307706802127261,-0.11703085383944276,-0.06334591006542661,-0.07153964125931449,pe,Perú
Perú/Servicios Financieros y Bancarios/bap,-0.03140429538692109,-0.028518142720316175,-0.03093138122623794,-0.03950528556449142,-0.04441569426728684,-0.056371140051365724,-0.04523888176698639,-0.051008517237987924,pe,Perú
Perú/Minería/scco,-0.03335994986811246,-0.033515494312440594,-0.03184302048400234,-0.04095085160627768,-0.047181613720624425,-0.05673491388874429,-0.04704149874618744,-0.05317042944494957,pe,Perú
Perú/Servicios Financieros y Bancarios/xvolb,-0.12083015915559599,-0.0,-0.11644296530780476,-0.1494316444999983,-0.17089239994722655,-0.3369195828268525,-0.1714920452555559,-0.19369110954410626,pe,Perú
